country_name,indicator_name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,country_code
Afghanistan,Mean Food Inflation Rate,12.78069210883742,18.254516540631823,14.102243424478893,14.072172245760497,12.606239508286867,6.305341041868214,12.265916116507158,41.136455688635984,-12.142569401033938,0.09461659944310992,10.842787095435831,4.756431552698307,7.569623273962654,7.795959934411898,-0.8268117455809122,5.684993993721531,6.957528739228014,-1.0459523900781087,3.794770210297989,9.999103003377618,5.650537905652623,19.18386292323023,-7.448816192985596,-10.612025120623302,AFG
Albania,Mean Food Inflation Rate,4.061812536861359,7.4140260371228175,3.161571903328067,3.62236349369557,-1.9077132597397675,3.409966526546904,3.77882004360278,5.235525116588565,4.898903410022909,5.188420746084598,4.388839236086106,2.399738200016301,4.234801536538765,2.1970461493707236,4.283320157091841,3.274392808694417,3.9138648405316907,2.6782876233775528,2.9203397228108106,3.6105451879739494,3.9091354457348904,11.782812305431326,9.464239851065999,2.6426485301446663,ALB
Algeria,Mean Food Inflation Rate,4.5738010092374335,-0.22533235146902733,3.64872120145772,4.527924632818675,-1.06187593481911,4.305825151304871,6.34936672207121,7.588900604129322,8.216477061390814,4.337529950947576,4.222616812391808,12.220070445250856,3.272627502132447,3.9071358532418903,4.765019706799159,3.4086175805756938,5.040495808373073,3.399442220118987,-0.5175882855359462,0.2071567817053014,10.11079045121569,13.429585760421602,13.290832649878253,3.2995539925512376,DZA
Andorra,Mean Food Inflation Rate,4.500642719490432,4.644702814553946,3.7169284449926896,2.2354051010714415,1.970377495524574,2.2573302288384074,1.9078789673808216,3.5094917708125224,1.9284732225130894,-0.26500320421541473,0.4469738075788321,1.8889100219243373,2.2552793015539807,1.819147883470601,1.6683823940493039,0.8291579304789484,2.8867258713550634,2.063797558040165,1.120534056293785,2.3670395351932623,1.549330095359693,8.980759286168839,12.273968250174432,2.778108015383788,AND
Angola,Mean Food Inflation Rate,119.81112705150379,97.338845951925,112.43668752415823,51.5336394045246,23.3996714857134,17.286256706404654,14.186883847365237,18.515093821365145,18.159508057532953,17.4266690552129,14.947694227553917,12.770906512249299,10.350244379168975,7.034177978775887,8.692675185462909,33.10294618715408,28.91196206444934,15.918599926699406,16.513903495814873,27.150493532595004,32.097827079418515,24.74017150868586,13.22476151918709,31.975465238310147,AGO
Anguilla,Mean Food Inflation Rate,4.023405681980438,0.77499864908414,-2.539359338391105,3.894805979557925,3.220490397755127,6.107836393337472,7.129097334102792,13.684863326756807,5.807683098503989,1.6880065975299674,5.2073857409168625,3.1180380277421356,1.5157194109498249,1.943038826434749,-0.3993667551304694,-0.485469600634673,1.2032779261454352,0.7608627506849217,2.597889042290799,0.45190832026583605,2.6371596869756226,10.201670860124443,9.748059040361097,2.6900335771919264,AIA
Antigua and Barbuda,Mean Food Inflation Rate,1.7419739778645489,1.4392376156238396,-2.584405694243186,4.165822307883219,2.2180871980850743,1.659899590175127,3.977006540278344,5.82114695561021,7.133500439641234,6.925747308075238,4.657432044234081,4.166857695751005,2.548471447628555,0.9866251726172708,2.474307092721706,-0.1440544762437194,1.8745538277407807,3.2831511046946242,1.562327287784358,2.1474624087183147,1.1904600048478893,10.550392794308605,7.112266460373053,5.337738042071571,ATG
Argentina,Mean Food Inflation Rate,-1.9063107995637465,34.75014223406191,21.910500769215247,4.983546424493908,10.922421641445796,12.20777738173412,11.227295204855546,6.768489757392846,2.8412987780463212,14.379745432000007,8.730299140688109,10.211440483618487,7.596193677054551,17.616885041338524,12.260237323968804,12.99780287273962,17.671433048530364,32.16295398641873,58.68555387331535,47.60767838868423,49.63332677027132,73.04820066730147,137.15554807465946,242.9145036591888,ARG
Armenia,Mean Food Inflation Rate,3.634928767580645,1.2587306076061529,5.69437590771027,8.007157510861537,0.6158441561981124,3.5218742836494843,5.268252174521799,9.994089520718061,3.424938090547839,8.954842574899173,12.335509594627853,1.9954327453533354,5.926426025222072,1.7078063111376782,3.080137270472472,-3.227312651108381,4.0751210561036695,2.362448284552292,1.8501134522767952,0.3391213462389695,11.34110565007805,12.974977898920947,-0.4450310561017274,-1.8463267004309059,ARM
Aruba,Mean Food Inflation Rate,4.102221112659514,3.4083142610885315,2.631762438030359,3.332924084905015,3.746330988700299,5.153948697833274,14.107848719870908,11.37249786258794,4.0725788384230155,-2.1571523662165184,5.127600089639052,4.395784012109313,1.4275956702686756,3.019013572962089,2.45204783326549,-0.5449812386591016,-3.0295597531319634,7.129486087783473,10.606805677369687,-0.47861267995690326,-0.19784639691786024,10.103431108788385,6.739166818787278,2.564053868020133,ABW
