country_name,PoU_Target_Year,lag_mean_food_inflation,lag_max_food_shock
Afghanistan,2026,-2.116629707144091,-2.116629707144091
Albania,2026,4.690263623444557,4.690263623444557
Algeria,2026,-4.896095940237021,-4.896095940237021
Andorra,2026,1.747418786874011,1.747418786874011
Angola,2026,21.037439739037467,21.037439739037467
Anguilla,2026,0.5746356411683973,0.5746356411683973
Antigua and Barbuda,2026,0.8612662100689006,0.8612662100689006
Argentina,2026,32.32872478360995,32.32872478360995
Armenia,2026,6.198877153921067,6.198877153921067
Aruba,2026,0.7448793343425741,0.7448793343425741
Australia,2026,2.985074580496816,2.985074580496816
Austria,2026,4.746835403704841,4.746835403704841
Azerbaijan,2026,7.260832624530589,7.260832624530589
Bahamas,2026,-1.3273688378220405,-1.3273688378220405
Bahrain,2026,-3.585991241088815,-3.585991241088815
Bangladesh,2026,7.390672523863584,7.390672523863584
Barbados,2026,2.021904441769773,2.021904441769773
Belarus,2026,10.063624995494958,10.063624995494958
Belgium,2026,3.3459134463055484,3.3459134463055484
Belize,2026,1.2903224595446128,1.2903224595446128
Benin,2026,5.851997898127093,5.851997898127093
Bermuda,2026,1.991150691339194,1.991150691339194
Bhutan,2026,5.489308178302688,5.489308178302688
Bolivia (Plurinational State of),2026,37.78744062669632,37.78744062669632
Bosnia and Herzegovina,2026,10.765107124446116,10.765107124446116
Botswana,2026,5.442866532822244,5.442866532822244
Brazil,2026,6.635581328895546,6.635581328895546
Brunei Darussalam,2026,-0.6920028952071666,-0.6920028952071666
Bulgaria,2026,7.509262003318717,7.509262003318717
Burkina Faso,2026,6.531754463770634,6.531754463770634
Burundi,2026,42.502004679971115,42.502004679971115
Cabo Verde,2026,0.4994700034406385,0.4994700034406385
Cameroon,2026,7.900815052015853,7.900815052015853
Canada,2026,2.768742600946772,2.768742600946772
Cayman Islands,2026,3.015075256276134,3.015075256276134
Chad,2026,-6.829332166395796,-6.829332166395796
Chile,2026,4.357021742649336,4.357021742649336
"China, Hong Kong SAR",2026,-0.3745314058682725,-0.3745314058682725
"China, Macao SAR",2026,0.1870079118360124,0.1870079118360124
"China, mainland",2026,-0.2335029632887342,-0.2335029632887342
Colombia,2026,4.314441835957217,4.314441835957217
Congo,2026,0.8535828023855663,0.8535828023855663
Cook Islands,2026,2.2598870247598546,2.2598870247598546
Costa Rica,2026,1.5831132459906971,1.5831132459906971
Croatia,2026,5.817174515235468,5.817174515235468
Cyprus,2026,-0.832293713163057,-0.832293713163057
Czechia,2026,6.232686980609414,6.232686980609414
Côte d'Ivoire,2026,-1.0073238850350164,-1.0073238850350164
Denmark,2026,5.210727969348672,5.210727969348672
Djibouti,2026,-0.5736140673428425,-0.5736140673428425
Dominica,2026,7.567959125069956,7.567959125069956
Dominican Republic,2026,4.113589991557776,4.113589991557776
Ecuador,2026,0.7699957604135443,0.7699957604135443
Egypt,2026,6.899004267684461,6.899004267684461
El Salvador,2026,-0.5548029479851557,-0.5548029479851557
Equatorial Guinea,2026,1.0830322836363981,1.0830322836363981
Estonia,2026,8.378232062537982,8.378232062537982
Eswatini,2026,2.32035926787193,2.32035926787193
Ethiopia,2026,11.70000001570215,11.70000001570215
Fiji,2026,-2.6160887090756924,-2.6160887090756924
Finland,2026,2.2025010084711694,2.2025010084711694
France,2026,1.4782021460193473,1.4782021460193473
French Guiana,2026,2.689313983109143,2.689313983109143
French Polynesia,2026,1.6946387865304224,1.6946387865304224
Gabon,2026,1.3296537195176095,1.3296537195176095
Gambia,2026,7.760216077184734,7.760216077184734
Georgia,2026,10.058114527243411,10.058114527243411
Germany,2026,2.7210879236728935,2.7210879236728935
Ghana,2026,16.299999965725753,16.299999965725753
Greece,2026,2.2617460244163556,2.2617460244163556
Greenland,2026,3.5737924322734704,3.5737924322734704
Grenada,2026,1.5465402574657894,1.5465402574657894
Guadeloupe,2026,2.681722243782314,2.681722243782314
Guatemala,2026,2.8197379838260206,2.8197379838260206
Guinea,2026,6.595636699459195,6.595636699459195
Guinea-Bissau,2026,14.928738282120047,14.928738282120047
Haiti,2026,29.673776568991748,29.673776568991748
Honduras,2026,4.272634568050959,4.272634568050959
Hungary,2026,4.923184269656078,4.923184269656078
Iceland,2026,6.047639028555474,6.047639028555474
India,2026,-0.20161257128509247,-0.20161257128509247
Indonesia,2026,1.4375555430289122,1.4375555430289122
Iran (Islamic Republic of),2026,42.3894113563849,42.3894113563849
Iraq,2026,-0.4616801350468158,-0.4616801350468158
Ireland,2026,4.554455029243676,4.554455029243676
Israel,2026,4.295050181147508,4.295050181147508
Italy,2026,3.4562211981566726,3.4562211981566726
Jamaica,2026,4.674797290879917,4.674797290879917
Japan,2026,7.175572602996949,7.175572602996949
Jordan,2026,2.838719540678647,2.838719540678647
Kazakhstan,2026,10.524257358420996,10.524257358420996
Kenya,2026,6.600000126309924,6.600000126309924
Kuwait,2026,5.106101389543571,5.106101389543571
Kyrgyzstan,2026,10.141093289335679,10.141093289335679
Lao People's Democratic Republic,2026,5.190170632703084,5.190170632703084
Latvia,2026,6.331550476190473,6.331550476190473
Lebanon,2026,20.79439337495954,20.79439337495954
Lesotho,2026,6.513355907200724,6.513355907200724
Liberia,2026,5.508834036573096,5.508834036573096
Libya,2026,2.759895048403793,2.759895048403793
Lithuania,2026,5.052328506939108,5.052328506939108
Luxembourg,2026,2.1930148416156037,2.1930148416156037
Malawi,2026,35.81488930478203,35.81488930478203
Malaysia,2026,2.0658488552108834,2.0658488552108834
Maldives,2026,4.620123112986807,4.620123112986807
Mali,2026,8.16566588521026,8.16566588521026
Malta,2026,4.527176935766253,4.527176935766253
Martinique,2026,1.2108260015883943,1.2108260015883943
Mauritania,2026,0.6751356419283816,0.6751356419283816
Mauritius,2026,9.194313304861556,9.194313304861556
Mexico,2026,5.117309454834973,5.117309454834973
Mongolia,2026,5.600000007033068,5.600000007033068
Montenegro,2026,5.0338001950436695,5.0338001950436695
Montserrat,2026,1.7585319551224554,1.7585319551224554
Morocco,2026,0.7722008161539451,0.7722008161539451
Mozambique,2026,9.39289820564877,9.39289820564877
Namibia,2026,6.421267513674511,6.421267513674511
Nepal,2026,-0.08226231174505161,-0.08226231174505161
Netherlands (Kingdom of the),2026,4.393005589795029,4.393005589795029
New Caledonia,2026,2.2318215901439897,2.2318215901439897
New Zealand,2026,5.267062660911592,5.267062660911592
Niger,2026,-9.489427954429496,-9.489427954429496
Nigeria,2026,22.231525504890183,22.231525504890183
North Macedonia,2026,6.298402827527871,6.298402827527871
Norway,2026,4.7155688622754655,4.7155688622754655
Oman,2026,-0.521739181015779,-0.521739181015779
Pakistan,2026,2.5612382674856216,2.5612382674856216
Palau,2026,5.342465655578921,5.342465655578921
Palestine,2026,193.7546913658688,193.7546913658688
Panama,2026,1.079157423547894,1.079157423547894
Papua New Guinea,2026,6.310204815696507,6.310204815696507
Paraguay,2026,5.288135628202917,5.288135628202917
Peru,2026,1.9009854490160683,1.9009854490160683
Philippines,2026,0.3861002794544266,0.3861002794544266
Poland,2026,4.864616583879844,4.864616583879844
Portugal,2026,3.0754386436321557,3.0754386436321557
Puerto Rico,2026,3.413158541238781,3.413158541238781
Qatar,2026,0.6388296090682033,0.6388296090682033
Republic of Korea,2026,3.3642691889248955,3.3642691889248955
Republic of Moldova,2026,10.402325038790439,10.402325038790439
Romania,2026,5.531385954008705,5.531385954008705
Russian Federation,2026,12.544547850229248,12.544547850229248
Rwanda,2026,10.748679659918547,10.748679659918547
Réunion,2026,3.5310737130818337,3.5310737130818337
Saint Kitts and Nevis,2026,0.5806828158071653,0.5806828158071653
Saint Lucia,2026,-2.2693285361152116,-2.2693285361152116
Saint Vincent and the Grenadines,2026,3.2994926873490815,3.2994926873490815
Samoa,2026,5.206015630444405,5.206015630444405
San Marino,2026,4.449581072915043,4.449581072915043
Sao Tome and Principe,2026,11.663697551036933,11.663697551036933
Saudi Arabia,2026,1.5257363756900677,1.5257363756900677
Senegal,2026,0.562191517500854,0.562191517500854
Serbia,2026,7.426213819360394,7.426213819360394
Seychelles,2026,-0.19456137159302722,-0.19456137159302722
Sierra Leone,2026,4.628600385840853,4.628600385840853
Singapore,2026,0.7861372561785318,0.7861372561785318
Slovakia,2026,4.203151919813952,4.203151919813952
Slovenia,2026,6.723223753976693,6.723223753976693
Solomon Islands,2026,5.916666996816011,5.916666996816011
South Africa,2026,5.1986229346082435,5.1986229346082435
Spain,2026,2.7588555980393004,2.7588555980393004
Sri Lanka,2026,4.166666810152164,4.166666810152164
Sudan,2026,74.66658709907708,74.66658709907708
Suriname,2026,1.6264532404298038,1.6264532404298038
Sweden,2026,5.334527948608536,5.334527948608536
