country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barbados,BRB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,1.7,,,,,,,,
Brunei Darussalam,BRN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,23.1,,,,12.0,,,,,3.6,,,,,2.6,,,,,0.0,,
Botswana,BWA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,34.8,,,,,,,21.1,,,,,,21.4,,,,,,,,,
Central African Republic,CAF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,67.3,,,,,,,,,,,,,71.6,,,
Canada,CAN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.2,,,
Central Europe and the Baltics,CEB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,,0.0,,0.2,,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,,
Channel Islands,CHI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),8.6,,,7.9,,,3.3,,,2.6,,1.7,,0.8,,0.7,,0.5,,,1.7,,0.5,,
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,48.1,,,33.1,,,26.2,,20.6,15.7,13.2,6.2,4.7,3.0,2.2,1.7,0.8,0.0,0.0,0.0,0.0,,
Cote d'Ivoire,CIV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,44.7,,,,,,47.9,,,,,,,47.5,,,22.7,,,20.9,,,
Cameroon,CMR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,30.8,,,,,,36.0,,,,,,,29.0,,,,,,,26.7,,,
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,94.9,,,,,,,,78.9,,,,,,,,85.3,,,,
