country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latvia,LVA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,1.5,1.5,3.7,3.1,1.9,0.8,1.6,2.6,2.6,1.7,1.4,1.5,1.1,1.0,1.0,1.0,0.6,0.3,0.5,0.5,0.4,0.4,
"Macao SAR, China",MAC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),16.8,,,,,,9.4,,,,,,,3.7,,,,,,,,,,,
Monaco,MCO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),41.0,32.2,19.9,10.0,11.6,16.6,3.4,1.6,1.7,1.5,0.8,0.5,0.5,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.1,
Madagascar,MDG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,57.5,,,,55.3,,,,,65.3,,67.3,,,,,,,,,69.2,,,
Maldives,MDV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,18.8,,,,,,,13.1,,,,,,,0.1,,,0.0,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),23.8,24.6,24.1,22.2,19.9,18.8,17.6,16.7,14.6,15.2,13.3,13.0,12.3,11.6,11.5,11.3,11.3,11.0,11.0,11.4,,,,,
Mexico,MEX,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),16.3,,12.8,,11.0,11.7,9.0,,10.1,,8.4,,7.3,,7.2,,4.4,,3.9,,4.3,,2.3,,
Marshall Islands,MHL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,2.1,,,,,
Middle income,MIC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),11.7,,3.0,2.8,1.4,3.1,4.6,,1.4,12.1,12.8,10.9,9.1,7.4,6.4,7.0,5.7,5.6,4.3,3.9,,,,,
Mali,MLI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,68.6,,,,,64.0,,,63.3,,,,,,,,,29.4,,,36.1,,,
Malta,MLT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,0.5,0.5,0.2,0.5,0.3,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.1,0.1,,
Myanmar,MMR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,18.2,,10.3,,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,0.4,0.4,0.4,0.3,0.0,0.0,0.4,5.6,5.2,3.9,3.6,3.3,4.6,3.9,2.5,2.2,2.5,,,
Mongolia,MNG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,18.7,,,,,4.0,,,3.5,2.2,1.1,,0.8,,1.9,,1.7,,,,0.4,,
Northern Mariana Islands,MNP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,87.6,,,,,,81.1,,,,,,74.4,,,,,81.6,,,81.4,,
Mauritania,MRT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),30.7,,,,28.5,,,,19.2,,,,,,11.7,,,,,10.2,,,,,
Mauritius,MUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,1.1,,,,,,1.1,,,,,0.5,,,,,,,
Malawi,MWI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,74.4,,,,,,72.9,,,,,,71.7,,,75.4,,,,,
Malaysia,MYS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,3.2,,,1.7,,1.5,,,0.4,,0.1,,0.1,,,0.0,,,0.0,,,
North America,NAC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.6,0.8,0.7,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,1.1,1.0,1.0,1.1,0.9,0.8,0.3,0.2,1.1,1.0,1.0
Namibia,NAM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,47.6,,,,,,38.6,,,,,,22.9,,,,,,,,,
New Caledonia,NCL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,83.8,,82.9,,,,68.8,,,60.3,,,,59.0,,,60.5,,,
Nigeria,NGA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,51.1,,,,,,,38.5,,37.4,,,35.8,,,34.2,,,,41.8,,
Nicaragua,NIC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,26.3,,,,16.5,,,,13.9,,,,,6.6,,,,,,,,,,
Netherlands,NLD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,0.3,0.1,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.1,,,
Norway,NOR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,,,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.2,
Nepal,NPL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,55.7,,,,,,,21.5,,,,,,,,,,,,2.4,,
Nauru,NRU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,9.7,,,,,,,,,,,,
New Zealand,NZL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,OSS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,56.2,,,40.9,40.8,,34.9,,,26.7,25.9,,21.2,,16.9,,,16.5,,,,,,
Panama,PAN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),16.3,20.8,17.2,16.8,15.5,14.5,15.7,13.0,9.0,6.6,7.7,6.1,7.4,5.9,6.4,4.8,4.8,4.3,3.7,2.9,,3.3,,3.7,3.1
Peru,PER,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),25.5,27.4,24.4,22.5,23.5,25.4,21.8,18.9,15.8,13.7,11.2,10.3,9.5,8.6,8.0,8.0,7.5,7.3,6.1,5.4,10.3,5.2,4.8,5.9,5.1
Philippines,PHL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),25.9,,,24.3,,,26.1,,,22.0,,,21.3,,,14.6,,,8.3,,,8.1,,5.3,
Palau,PLW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,52.2,,,,,,,,,,,,,,,
Poland,POL,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.3,0.4,0.3,0.2,2.8,1.4,0.9,0.6,0.3,0.6,0.6,0.6,0.4,0.6,0.6,0.5,0.4,0.4,0.3,0.1,0.2,0.1,0.3,0.2,
Pre-demographic dividend,PRE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico (US),PRI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,1.1,0.7,0.7,0.2,0.6,0.3,0.2,0.2,0.6,0.9,1.0,0.8,0.7,0.4,0.4,0.4,0.2,0.6,0.3,0.2,0.4,
Paraguay,PRY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,13.5,19.6,13.8,10.7,10.1,14.1,12.6,7.9,9.1,9.4,8.9,6.4,4.1,4.3,4.2,4.2,2.4,3.1,2.4,2.6,1.9,3.2,2.4,2.1
West Bank and Gaza,PSE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,1.8,1.3,0.5,2.9,,0.6,0.6,0.4,,,,,1.4,,,,,,,2.1,
Pacific island small states,PSS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,PST,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,0.0,,,,,,,
Romania,ROU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),11.9,9.5,9.1,7.0,5.3,4.2,11.1,8.1,6.0,5.3,6.3,7.1,8.4,8.7,8.9,7.6,5.2,4.9,3.7,3.1,2.4,2.0,1.5,0.7,
Russian Federation,RUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),5.1,3.2,2.0,2.1,1.8,1.4,0.9,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.2,0.3,0.1,0.2,0.1,0.1,
Rwanda,RWA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),82.3,,,,,74.2,,,,,70.2,,,65.2,,,63.8,,,,,,,38.6,
South Asia,SAS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,46.0,45.6,45.0,43.3,40.7,38.1,36.8,34.6,30.4,27.5,25.2,22.8,20.0,,,,,,9.4,7.9,6.1,4.7,3.8
Saudi Arabia,SAU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,13.1,,,,,10.1,,,,,,,,,,
Senegal,SEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,63.9,,,,53.6,,,,,,53.3,,,,,,,19.1,,,17.9,,,
Singapore,SGP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,62.2,,,,,,,40.3,,,,,,,,,,,,
Sierra Leone,SLE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,72.4,,,,,,,,53.7,,,,,,,41.5,,,,,,
El Salvador,SLV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),18.4,19.4,19.5,20.9,16.3,16.4,12.6,9.2,12.6,12.4,11.4,10.1,8.5,7.1,7.0,5.3,5.8,4.5,4.1,3.0,,5.1,5.2,4.6,
San Marino,SMR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,0.4,0.9,1.2,1.6,0.9,0.6,0.3,0.6,0.3,,7.1,7.8,8.9,8.4,8.1,6.6,4.2,2.7,2.0,1.7,2.0,,
Sub-Saharan Africa (excluding high income),SSA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,44.9,,,,,,,76.5,,,,,,,,
Sub-Saharan Africa,SSF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),62.5,61.3,60.9,59.9,57.0,55.5,54.0,53.0,51.6,51.1,49.5,48.5,47.3,46.4,45.7,45.5,45.3,45.0,44.6,44.4,46.4,46.6,46.4,46.5,46.0
Small states,SST,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),17.3,,,,,,,,,,18.9,,,,,,,13.0,,,,,,,
Suriname,SUR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,2.2,,
Slovak Republic,SVK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,0.2,0.3,0.3,0.6,0.5,0.6,0.6,0.6,0.5,0.4,0.9,0.8,1.5,0.6,0.5,0.2,0.3,0.3,0.7,0.5,
Slovenia,SVN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sweden,SWE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.2,0.2,0.0,0.4,0.5,1.1,0.4,0.5,0.7,0.5,0.6,0.7,0.5,0.7,0.5,0.6,0.4,0.3,0.9,0.4,0.5,0.6,1.3,0.8,
Eswatini,SWZ,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),65.0,,,,,,,,,58.2,,,,,,,44.5,,,,,,,,
Sint Maarten (Dutch part),SXM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,0.6,,,,,,,1.6,,,,,0.7,,,,,,
Syrian Arab Republic,SYR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,0.5,,,0.0,,,0.0,,,,,,,,,,,,,16.5,,
Turks and Caicos Islands,TCA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,66.7,,,,,,,,45.2,,,,,,,41.9,,,,39.5,,
East Asia & Pacific (IDA & IBRD countries),TEA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,67.2,,,,,65.2,,,,61.5,,,35.1,,,34.4,,,
Thailand,THA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),8.4,,4.7,,3.1,,2.2,1.3,1.0,0.8,0.7,0.3,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,
Tajikistan,TJK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,56.0,37.2,,,24.2,,15.7,,,,,,13.3,,,,,,9.1,8.9,7.3,6.1
Turkmenistan,TKM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,55.7,,,,,,60.1,,,,,,,43.9,,,,,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),4.6,,,,,,,,,3.6,,,,,,4.0,,,,,,0.4,,,
South Asia (IDA & IBRD),TSA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),10.5,,,,,5.9,,,,,3.1,,,,,0.7,,,,,,0.7,,,
Turkiye,TUR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,7.6,10.0,6.6,6.5,4.8,4.0,3.3,3.0,2.8,2.0,1.7,1.5,1.0,1.3,0.9,1.1,1.0,1.3,1.1,0.9,0.5,,
Tuvalu,TUV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,9.0,,,,,,,,,,,,,,
Tanzania,TZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),86.9,,,,,,,61.9,,,,51.5,,,,,,,51.3,,,,,,
Uganda,UGA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,78.6,,,72.4,,,,63.5,,,56.2,,,,60.1,,,59.8,,,,,
Ukraine,UKR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,6.3,3.2,2.8,1.1,0.7,0.5,0.1,0.3,0.1,0.1,0.1,0.1,0.0,0.3,0.2,0.1,0.2,0.2,0.0,,,,
Upper middle income,UMC,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),41.3,39.0,35.1,32.1,28.9,25.4,23.8,21.7,20.2,18.8,16.5,13.4,11.6,7.8,6.9,5.5,4.8,4.2,3.5,3.0,2.9,2.9,2.5,2.3,2.1
Uruguay,URY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.8,0.7,1.1,1.5,1.7,1.5,1.0,0.7,0.4,0.4,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.2
United States,USA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.0,1.0,0.5,0.5,1.2,1.2,
Uzbekistan,UZB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),93.8,,93.1,93.3,,,,,,,,,,,,,,,,,,4.4,4.4,4.1,2.7
St. Vincent and the Grenadines,VCT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,14.7,22.1,27.1,22.8,18.1,9.7,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,43.3,,30.9,,23.7,,17.6,,5.2,,3.7,,3.4,,2.5,,2.2,,1.3,,1.6,,
Vanuatu,VUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,25.7,,,,,,,,,19.5,,,,,
World,WLD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),36.3,35.3,33.8,32.2,30.3,28.4,27.0,25.3,24.1,23.0,21.0,19.2,17.9,15.6,14.6,13.4,12.6,11.9,11.2,,11.4,11.2,10.8,10.5,10.3
Samoa,WSM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,5.9,,,,,,3.7,,,,,4.5,,,,,,,,,,,
Kosovo,XKX,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,11.7,,14.3,13.5,,,10.5,10.6,6.6,3.9,2.2,3.3,2.4,2.0,15.2,20.7,11.3,16.8,25.0,10.0,,
"Yemen, Rep.",YEM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,21.4,,,,,,,,,33.3,,,,,,,,,,
South Africa,ZAF,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),47.9,,,,,42.1,,,30.3,,29.5,,,,31.2,,,,,,,,,,
Zambia,ZMB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,68.0,,68.9,,72.0,,,,71.4,,,,,67.9,,,,,,,71.7,,
Zimbabwe,ZWE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),,,,,,,,,,,,35.7,,,,,,44.7,,49.2,,,,,
