country_name,energy_supply_adeq,gdp_percapita,poverty,max_inflation_shock
Albania,-0.9078374506252006,-0.7892036389293644,0.3193836732517173,-0.1590525192272671
Algeria,,,,
Angola,,,,
Argentina,-0.4933444259567389,-0.3458033585461796,0.328466635979628,0.25716729000764416
Armenia,-0.9726837469524743,-0.7226805292088776,0.9600099627052618,-0.09954711238083785
Australia,,,,
Austria,,,,
Azerbaijan,-0.9789827075613534,-0.9360051977415587,0.7484467027485487,-0.9202561104458177
Bangladesh,,,,
Barbados,,,,
Belarus,-0.6581457448340124,-0.5298968830508175,0.4537173648624116,0.024972569381858246
Belgium,,,,
Belize,,,,
Benin,-0.6364215236585342,-0.4752826145685323,0.08564819770910172,-0.5952284041096817
Bolivia,-0.9007508045552296,-0.7393274940586793,0.7879838925116084,0.07329563628000227
Bosnia and Herzegovina,,,,
Botswana,,,,
Brazil,-0.9261501841191313,-0.7975913850658031,0.922703180397622,0.2364490835488139
Bulgaria,-0.952449070926193,-0.887211719539623,0.6038956677275189,-0.008585573517430889
Burkina Faso,-0.9847718917935196,-0.5758059048318974,0.5161627430113402,0.09411338171840598
Cabo Verde,,,,
Cameroon,,,,
Canada,,,,
Chad,,,,
Chile,-0.9675794691237344,-0.43313502340655935,-0.02690830210087951,-0.23604487063169588
China,-0.7324266885227553,-0.6937588916929482,0.8793810778687615,-0.2119457633182358
Colombia,-0.9840075636353949,-0.8051025317267848,0.5973312152264805,-0.15758234660999784
Comoros,,,,
"Congo, Dem. Rep.",,,,
Costa Rica,-0.8040192602251506,-0.7754445928349254,0.9012695307168437,0.21683862617331232
Croatia,-0.7291790392379787,-0.5042049599312419,-0.40865230163111443,-0.02838106356013665
Cyprus,-0.8685982237707248,-0.5006797555267452,-0.11139129657816312,0.16584980614917252
Czechia,,,,
Denmark,,,,
Djibouti,,,,
Dominican Republic,-0.9498998275266171,-0.9013038433662475,0.9385861340176749,0.5523074335194317
Ecuador,-0.8383490224590799,-0.6401575412786826,0.8373907419243202,0.3918760522337905
El Salvador,-0.9215239316280913,-0.28872128942117825,-0.09805946918890912,0.19834972427896483
Estonia,-0.7964342182613224,-0.6227785497569577,0.9356205197677286,-0.09818167324326452
Eswatini,,,,
Ethiopia,,,,
Fiji,,,,
Finland,,,,
France,,,,
Gabon,,,,
Georgia,-0.5682733128890494,0.04152805082225954,-0.0075278753774093285,-0.26904204849215924
Germany,,,,
Ghana,,,,
Greece,,,,
Guatemala,,,,
Guinea,,,,
Guinea-Bissau,,,,
Haiti,,,,
Honduras,-0.8331818757708019,-0.8264460756505485,0.7642297654904587,0.49833816248429436
Hungary,,,,
Iceland,,,,
India,,,,
Indonesia,-0.9908170690857564,-0.9258218679899797,0.9362524318096805,0.6272460675904751
Iraq,,,,
Ireland,,,,
Israel,,,,
Italy,,,,
Jamaica,,,,
Jordan,,,,
