country_name,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",26.629848,29.89354775,35.344891833333335,40.203113333333334,45.840561083333334,51.605261750000004,54.83604616666667,61.60007525,86.89847666666667,75.29529191666667,75.08378791666667,83.09606591666666,87.02870441666666,93.61881258333334,100.86193808333333,100.01094058333332,105.681086,113.01400791666667,111.76973083333333,115.988022,127.60891033333333,134.66106541666667,160.09642691666667,147.99904858333335,132.05495091666668,133.29621766666665
Afghanistan,"Consumer Prices, General Indices (2015 = 100)",18.403082083333334,23.259420916666667,28.1111665,36.1373935,47.943154416666665,53.874700999999995,57.52988208333333,62.52380433333334,79.04175825,73.65809675,75.262766,84.14692258333334,89.56700516666666,96.18221941666667,100.6777725,100.01157875,104.39597816666667,109.5906715,110.27687241666666,112.81585666666666,119.13567483333333,125.25115125,142.42571733333332,135.81045741666665,126.84535725,128.45729016666667
Afghanistan,Food price inflation,,12.780692250000001,18.254516083333332,14.102244416666666,14.072171666666668,12.606239583333334,6.305341166666667,12.265915833333333,41.136455833333336,-12.142569416666666,0.09461666666666686,10.842787083333334,4.756431666666667,7.569623166666666,7.795959916666667,-0.8268115833333334,5.684994083333333,6.957528833333334,-1.04595225,3.7947700833333333,9.999103083333333,5.650537916666667,19.183863166666665,-7.448816333333333,-10.612025166666667,-1.8046158333333333
Africa,"Consumer Prices, Food Indices (2015 = 100), median",35.617731416666665,38.367913083333335,41.280191583333334,45.12617516666666,48.50276708333333,51.49703766666667,54.965915333333335,60.07146616666666,65.64758208333333,72.40587958333333,75.93805608333334,81.9189765,86.89142258333334,91.33349175000001,95.362981,99.90716199999999,105.31548916666667,110.42770566666667,115.75048541666666,119.30446224999999,127.41297675,132.69186183333332,146.03891858333333,158.81016808333334,165.40191991666669,168.296548
Africa,"Consumer Prices, Food Indices (2015 = 100), weighted average",29.339783583333332,31.941038666666667,34.61859558333333,36.925890083333336,39.535964666666665,42.90225708333333,45.70317875,48.87662158333333,56.59574933333334,62.7609635,67.59877616666667,74.50747066666666,81.14344858333334,86.89221666666667,92.9689715,100.05117233333334,112.05531,130.930939,143.05014225,154.2630355,167.87281366666667,189.54234358333335,225.44128383333336,289.38127825,366.04057908333334,402.7453095
Africa,"Consumer Prices, General Indices (2015 = 100), median",41.49414683333333,43.43666725,48.40211958333333,52.1395515,54.92806775,57.35208583333333,60.624615,64.66040725,70.15474108333333,75.48130075,78.52486583333334,82.67836783333333,88.33450333333333,92.71723958333332,96.39891408333334,99.96966825,104.54132,110.65077633333334,115.29131808333334,118.90608833333333,124.1167535,129.4769815,138.89538408333334,145.88907975,151.90636691666666,156.677379
Africa,"Consumer Prices, General Indices (2015 = 100), weighted average",34.44953833333333,36.888538583333336,39.286006916666665,41.988042416666666,44.65184025,48.022314083333335,51.01206933333333,54.13134183333333,60.427313999999996,65.79967816666667,70.251617,76.28613925,82.61530950000001,87.94717150000001,93.52373525,100.03188899999999,110.79539016666666,126.48486883333334,139.04637025,150.24925741666667,162.88161475,180.35125158333335,207.16780666666668,248.8761678333333,304.52083016666666,340.172584
Africa,"Food price inflation, median",,5.477139916666666,6.298356500000001,6.251152,4.792854416666667,6.507431916666667,6.028071833333333,7.201152666666666,14.4525455,7.530167166666666,4.13808125,6.59286025,6.51397975,4.90442425,3.9948836666666665,4.850571333333334,4.72304425,5.360149166666667,3.086058583333333,3.2228605,4.890999416666667,6.450474916666667,12.312825416666668,10.634755416666666,5.782722666666667,5.761603
Africa,"Food price inflation, weighted average",,22.168415083333333,12.969484166666668,11.467934,10.344600583333333,10.340012583333333,7.549516000000001,7.83976925,17.433872166666667,12.090074166666668,9.233932083333334,11.162727250000001,9.45871575,7.467986083333333,7.29343825,7.742341416666666,11.964836499999999,16.341886249999998,8.53150525,7.1936539999999995,8.038854583333334,11.133630833333333,17.180039666666666,25.19543416666667,20.2379985,11.810391000000001
Albania,"Consumer Prices, Food Indices (2015 = 100)",57.765107416666666,60.09187541666666,64.54281758333333,66.57255425,68.97512308333333,67.65535258333334,69.95003016666666,72.59382133333334,76.38495041666667,80.11790375,84.27935066666667,87.97129100000001,90.04185091666666,93.86104283333333,95.92166658333333,100.03206158333334,103.290116,107.32248408333334,110.19855925,113.41646691666666,117.50483191666666,122.08818924999999,136.45665716666667,149.30275408333333,153.23664175000002,158.46731816666667
Albania,"Consumer Prices, General Indices (2015 = 100)",66.6494735,68.72066483333333,72.51013625,74.41907708333333,76.11584633333332,77.91719024999999,79.764395,82.02994516666666,84.75405375,86.675362,89.81916483333333,92.89822983333333,94.78554358333334,96.62212791666667,98.19307333333334,100.00690208333333,101.25770916666666,103.34422408333334,105.4401065,106.92796216666666,108.66114325000001,110.87942958333333,118.336296,123.96882483333333,126.71410150000001,129.14461883333334
Albania,Food price inflation,,4.061812583333333,7.414026083333333,3.1615718333333334,3.6223635,-1.9077132500000002,3.4099665,3.77882,5.235525333333333,4.89890325,5.188420833333333,4.388839416666666,2.399738166666667,4.234801333333333,2.1970460833333334,4.283320166666667,3.274393083333333,3.9138648333333332,2.6782876666666664,2.92033975,3.610545,3.9091353333333334,11.782812416666667,9.46424,2.642648416666667,3.3505915
