country_name,indicator_name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,country_code
Afghanistan,Max Food Inflation Shock,24.357903426441485,22.025232221579017,20.87208200566142,21.4394906523502,15.8219976286186,10.635894714509742,24.421353688528825,61.05695103805597,16.731185704517348,12.8439920938626,15.442461205185886,7.420966220296554,9.98897040568103,10.658337455996381,2.9570420247918117,7.975063576601227,10.879359627072095,5.536004636931158,7.0405656999043,16.562751780932473,17.739358144381523,25.966047845502583,3.1749804917359903,-4.509165418061323,AFG
Albania,Max Food Inflation Shock,7.60191991918151,10.410651756019472,4.617362910100642,5.895945176397155,-0.4975133312894231,4.982372692577575,7.2607263862147775,7.680000083608518,6.835066401778533,8.403154667071199,6.92065663476269,4.184816371008182,5.705019779724041,3.184344036623199,5.8552680691442704,4.710936773628704,5.815495618538691,3.159612562611902,4.346390427265767,4.875621217816395,6.357925336963666,14.692588081495138,13.45738264055283,5.34884257614805,ALB
Algeria,Max Food Inflation Shock,8.097850151009233,5.261940554730016,7.692306792258696,9.01882999487822,3.1505586595387047,9.907769259100174,10.552809128068397,12.608581265303464,10.342127521232246,9.68693159519949,7.128685026818582,15.870549235395393,10.470809861176011,9.991955627277637,7.498435388466729,7.130528891625265,8.300536807536218,8.532006511007072,2.364929507346547,2.4629136173848654,15.67537011873772,16.891359444444575,15.043642490662478,7.222816247382169,DZA
Andorra,Max Food Inflation Shock,4.594660916027538,4.8387102512336355,4.661067903035332,2.7093024726971393,2.1390363538363433,2.3560215428372056,2.2860880014226925,5.16372790553179,4.650433533613474,0.1206274722846068,0.7228906609767272,2.8708141274596644,2.7744624949747942,2.660944744526761,2.4858759861688506,1.689189110555822,4.2810094623768835,3.1590420352096693,1.5739768318906888,3.4554977842091272,3.045686052576224,13.497536582947966,16.346153862770628,7.296137772739497,AND
Angola,Max Food Inflation Shock,166.1155371202457,122.59524662318904,133.26974573248657,78.17636045038512,28.816386738031262,22.166946915552323,14.96563255458594,20.245351199574422,19.83187268648563,18.330106329245744,16.17688411582996,14.183916917664806,11.114672194229636,8.778658159217656,12.974999320801262,44.29751560354782,44.961982226196696,18.103539319343675,18.996027444687403,31.40349482941418,33.73710551375064,34.279834954568386,21.882105279607966,35.442629103782,AGO
Anguilla,Max Food Inflation Shock,4.893516509844975,1.894317108295418,0.0,5.3698078981732955,4.238603960822118,8.728017175277024,8.152173610486368,17.534469485761672,13.818047662418476,2.6872254684709773,8.794269512601694,5.41597718694129,3.599148939971597,3.205229499000084,0.8166599503769634,0.6559541540892333,1.4406603921881533,2.6068636608718165,4.309806367888336,1.9674933541405704,7.218353412918477,15.290628554954267,15.024783098662908,4.427530109682665,AIA
Antigua and Barbuda,Max Food Inflation Shock,1.9473873673724773,2.97078974680669,-1.7032102317015463,6.744869359530625,3.331374012128485,3.528629452254628,6.973102626907224,8.161966135145459,8.831577029669146,10.936146639125898,6.241852301425022,5.134924638198646,4.510813830173843,1.7639984713454737,3.19190646336327,1.8385652677116004,3.0503723756224232,6.113428644876717,2.2734133176800064,3.8602191215921566,5.314196747740141,14.367432861034635,11.236470485001737,6.333973743542454,ATG
Argentina,Max Food Inflation Shock,-0.5699946708251802,57.944710826311365,57.086394463478676,7.278593270791078,15.696732355403675,15.89303390386323,12.339720594930181,8.20972468004948,5.94360948482382,16.074659802961165,13.110563499049888,11.059509400249933,9.922003316985029,19.2979381185147,16.821455147708853,13.762339262149226,20.699694989661708,51.15977088238846,66.20907538048257,58.826276575975896,56.364740168381935,94.95561607763807,251.34164181200217,308.26978730830234,ARG
Armenia,Max Food Inflation Shock,5.837075801984137,4.107460634022764,13.499998768549947,10.892558503502414,5.525635415436758,8.204793088160622,10.89999876421317,13.044295331544697,5.204281174131786,15.200000875733632,17.267516156401076,5.995612094344183,10.266540326328322,6.234061619245468,7.315150035463525,-0.33581487115410535,6.167154402523289,5.3132930507980625,5.272649306690691,4.946203806244487,16.928921724814614,17.053886204464554,9.788325145100307,2.0190485170512584,ARM
Aruba,Max Food Inflation Shock,4.539627326886153,4.087676724443012,3.306671148835316,3.792818245771601,4.583966226318248,8.743260567983757,16.38412794249815,13.904103696143322,9.802126337872053,-0.005442162081115143,7.852499705417593,7.252642299086198,2.1262910337576324,5.867597947531711,5.519580258283074,0.7109009220431339,-1.9580260662533266,11.227154335495392,13.344315652772497,4.823889688184924,4.360902831160973,13.328530176221665,12.859195547425673,2.92807062103404,ABW
